model,representation,axis,p05_error_m,p25_error_m,p50_error_m,p75_error_m,p95_error_m
GPs,Absolute,X,0.0034118006553146897,0.019027045914675966,0.05328462193166672,0.147546956979837,0.5836447238048805
GPs,Absolute,Y,0.0034259641698617753,0.018777697924313608,0.052144308648899296,0.1457148146079585,0.6106339946457464
GPs,Absolute,Z,0.0021697601879191344,0.011848017372905029,0.03129812875766236,0.08588499029305166,0.48685333204153997
NNs,Absolute,X,0.01242671379730066,0.06368769038430194,0.13778365017398198,0.24639458366003084,0.5083760695444927
NNs,Absolute,Y,0.012259917183717961,0.06251099596866233,0.135426207882283,0.2443284503621981,0.5056192641783102
NNs,Absolute,Z,0.00816160284841969,0.041679926874175224,0.09044732470281786,0.16600379000185506,0.36609030492983313
KANs,Absolute,X,0.011061795120794249,0.05705559862102548,0.1258740162740516,0.23808931041186998,0.59747152302788
KANs,Absolute,Y,0.01176739054603635,0.0613246708990704,0.13607788684276956,0.2618976159090275,0.6780901913505857
KANs,Absolute,Z,0.005738179766041741,0.029744628007268292,0.0661835387183386,0.1273499797260374,0.35437057095812885
GPs,Relative,X,0.0015547479176707347,0.008459586551815779,0.020307497931766283,0.042619704211090265,0.22780333232512023
GPs,Relative,Y,0.0015218018865696585,0.008262622022705016,0.020234396344117167,0.04158144431690691,0.19578085620451824
GPs,Relative,Z,0.0007301327981657336,0.0037601529993303573,0.008267773782913518,0.01670952002149173,0.0701677277847158
NNs,Relative,X,0.008038064287981017,0.04122576445494619,0.0885066694548906,0.1557667903105187,0.30805286058622533
NNs,Relative,Y,0.007411261269909446,0.038187929236507545,0.08174523152660762,0.1437271109028626,0.278525814638975
NNs,Relative,Z,0.004512230932686734,0.023065658135956013,0.04964773557572488,0.08831536875577439,0.17052770307935328
KANs,Relative,X,0.005603867451814926,0.028703125695949794,0.06432550376608304,0.13265411925118237,0.603653495509628
KANs,Relative,Y,0.005291234371700465,0.027642831031971626,0.06222695953943663,0.12633514677107904,0.5197003317872592
KANs,Relative,Z,0.0017735698598035478,0.009154194988615139,0.020380860745170676,0.03986419328926849,0.1216513948309365
GPs,logD,X,0.00013919667123454826,0.000732544323039902,0.0017821693436572694,0.004347252120294631,0.03195550408287825
GPs,logD,Y,0.0002009478863575609,0.0010589957757759505,0.0025464062779200214,0.005960748519792891,0.0326575332564998
GPs,logD,Z,0.0001978296490912579,0.001021307711585595,0.002328621599980466,0.00513267238607068,0.03365103356519696
NNs,logD,X,0.003592642679223479,0.018222136945067552,0.03949850100914787,0.07199235340239724,0.14315255375356814
NNs,logD,Y,0.0033376845163552806,0.017145714805151813,0.03734391470207704,0.06857025177175881,0.13980991294522
NNs,logD,Z,0.002883819653347497,0.014744136048203793,0.03159477589143023,0.05761705688833013,0.1300301023273303
KANs,logD,X,0.0027785148927842456,0.014376447017219462,0.032268172772496495,0.06343594642533501,0.15405176578072236
KANs,logD,Y,0.0026564626600567437,0.013696200767548489,0.030294060687180324,0.05773951340216654,0.13758729977776174
KANs,logD,Z,0.002307493326968952,0.012077464598549803,0.028413242387704762,0.06423558069086349,0.19955395500902745
