seed,runtime_s,per_sample_s,n_test
0,3.771614960860461,3.017291968688369e-05,125000
1,3.782150102313608,3.0257200818508864e-05,125000
2,3.896997212897986,3.117597770318389e-05,125000
3,3.81630067108199,3.053040536865592e-05,125000
4,3.7169282850809395,2.9735426280647516e-05,125000
5,3.651744137983769,2.9213953103870153e-05,125000
6,3.7221247139386833,2.9776997711509466e-05,125000
7,3.7096769087947905,2.9677415270358323e-05,125000
8,3.70630194991827,2.9650415599346162e-05,125000
9,3.7932890113443136,3.034631209075451e-05,125000
