seed,runtime_s,per_sample_s,n_test
0,3.68596251308918,2.948770010471344e-05,125000
1,3.6678707120008767,2.9342965696007014e-05,125000
2,3.6297900769859552,2.903832061588764e-05,125000
3,3.8116709869354963,3.0493367895483972e-05,125000
4,3.6424146741628647,2.9139317393302917e-05,125000
5,3.6333797611296177,2.906703808903694e-05,125000
6,3.58807321311906,2.870458570495248e-05,125000
7,3.5537187489680946,2.8429749991744756e-05,125000
8,3.609739523380995,2.887791618704796e-05,125000
9,3.5904820798896253,2.8723856639117002e-05,125000
