seed,runtime_s,per_sample_s,n_test
0,0.48184096487239003,3.854727718979121e-06,125000
1,0.31671996181830764,2.533759694546461e-06,125000
2,0.2820120472460985,2.256096377968788e-06,125000
3,0.30359739577397704,2.4287791661918165e-06,125000
4,0.3313085869885981,2.650468695908785e-06,125000
5,0.3188778553158045,2.551022842526436e-06,125000
6,0.3046843591146171,2.4374748729169367e-06,125000
7,0.31469633197411895,2.5175706557929514e-06,125000
8,0.3061261582188308,2.4490092657506468e-06,125000
9,0.3191403257660568,2.553122606128454e-06,125000
