seed,runtime_s,per_sample_s,n_test
0,0.5332704959437251,4.266163967549801e-06,125000
1,0.5252738199196756,4.202190559357405e-06,125000
2,0.5186072532087564,4.148858025670051e-06,125000
3,0.5293311509303749,4.234649207442999e-06,125000
4,0.5220866352319717,4.176693081855774e-06,125000
5,0.526186722330749,4.209493778645992e-06,125000
6,0.5337374359369278,4.269899487495423e-06,125000
7,0.5751748410984874,4.601398728787899e-06,125000
8,0.5330890938639641,4.264712750911712e-06,125000
9,0.5258132889866829,4.206506311893463e-06,125000
