seed,runtime_s,per_sample_s,n_test
0,0.3108480512164533,2.4867844097316266e-06,125000
1,0.280717012938112,2.245736103504896e-06,125000
2,0.28220865223556757,2.2576692178845405e-06,125000
3,0.3000939688645303,2.4007517509162428e-06,125000
4,0.27800472220405936,2.2240377776324748e-06,125000
5,0.30914664128795266,2.473173130303621e-06,125000
6,0.29307956900447607,2.3446365520358087e-06,125000
7,0.31635176995769143,2.5308141596615312e-06,125000
8,0.29783352511003613,2.382668200880289e-06,125000
9,0.2631442812271416,2.105154249817133e-06,125000
